film,year,category,award,name,age0,age
Min and Bill,1932,Best Actress,winner,Marie Dressler,63,55-69
Love Affair,1940,Best Supporting Actress,nominee,Maria Ouspenskaya,63,55-69
The Roman Spring of Mrs. Stone,1962,Best Supporting Actress,nominee,Lotte Lenya,63,55-69
Hud,1964,Best Supporting Actor,winner,Melvyn Douglas,63,55-69
Ryan's Daughter,1971,Best Supporting Actor,winner,John Mills,63,55-69
Love Story,1971,Best Supporting Actor,nominee,John Marley,63,55-69
"Summer Wishes, Winter Dreams",1974,Best Supporting Actress,nominee,Sylvia Sidney,63,55-69
Autumn Sonata,1979,Best Actress,nominee,Ingrid Bergman,63,55-69
Dark Eyes,1988,Best Actor,nominee,Marcello Mastroianni,63,55-69
Unforgiven,1993,Best Supporting Actor,winner,Gene Hackman,63,55-69
Enchanted April,1993,Best Supporting Actress,nominee,Joan Plowright,63,55-69
Mrs. Brown,1998,Best Actress,nominee,Judi Dench,63,55-69
Ali,2002,Best Supporting Actor,nominee,Jon Voight,63,55-69
Animal Kingdom,2011,Best Supporting Actress,nominee,Jacki Weaver,63,55-69
Emma,1933,Best Actress,nominee,Marie Dressler,64,55-69
The Devil and Miss Jones,1942,Best Supporting Actor,nominee,Charles Coburn,64,55-69
Watch on the Rhine,1944,Best Supporting Actress,nominee,Lucile Watson,64,55-69
Torch Song,1954,Best Supporting Actress,nominee,Marjorie Rambeau,64,55-69
The Last Angry Man,1960,Best Actor,nominee,Paul Muni,64,55-69
"Hush... Hush, Sweet Charlotte",1965,Best Supporting Actress,nominee,Agnes Moorehead,64,55-69
Star Wars,1978,Best Supporting Actor,nominee,Alec Guinness,64,55-69
Victor/Victoria,1983,Best Supporting Actor,nominee,Robert Preston,64,55-69
'Round Midnight,1987,Best Actor,nominee,Dexter Gordon,64,55-69
A Room with a View,1987,Best Supporting Actor,nominee,Denholm Elliott,64,55-69
Shakespeare in Love,1999,Best Supporting Actress,winner,Judi Dench,64,55-69
Erin Brockovich,2001,Best Supporting Actor,nominee,Albert Finney,64,55-69
The Last Station,2010,Best Actress,nominee,Helen Mirren,64,55-69
Albert Nobbs,2012,Best Actress,nominee,Glenn Close,64,55-69
August: Osage County,2014,Best Actress,nominee,Meryl Streep,64,55-69
None But the Lonely Heart,1945,Best Supporting Actress,winner,Ethel Barrymore,65,55-69
Sunset Blvd.,1951,Best Supporting Actor,nominee,Erich von Stroheim,65,55-69
Harvey,1951,Best Supporting Actress,winner,Josephine Hull,65,55-69
Sleuth,1973,Best Actor,nominee,Laurence Olivier,65,55-69
Save the Tiger,1974,Best Supporting Actor,nominee,Jack Gilford,65,55-69
About Schmidt,2003,Best Actor,nominee,Jack Nicholson,65,55-69
Silver Linings Playbook,2013,Best Supporting Actress,nominee,Jacki Weaver,65,55-69
The More the Merrier,1944,Best Supporting Actor,winner,Charles Coburn,66,55-69
The Treasure of the Sierra Madre,1949,Best Supporting Actor,winner,Walter Huston,66,55-69
The Quiet Man,1953,Best Supporting Actor,nominee,Victor McLaglen,66,55-69
The Heartbreak Kid,1973,Best Supporting Actor,nominee,Eddie Albert,66,55-69
A Dry White Season,1990,Best Supporting Actor,nominee,Marlon Brando,66,55-69
The Madness of King George,1995,Best Actor,nominee,Nigel Hawthorne,66,55-69
Ed Wood,1995,Best Supporting Actor,winner,Martin Landau,66,55-69
Shine,1997,Best Supporting Actor,nominee,Armin Mueller-Stahl,66,55-69
Chocolat,2001,Best Supporting Actress,nominee,Judi Dench,66,55-69
Away from Her,2008,Best Actress,nominee,Julie Christie,66,55-69
Lincoln,2013,Best Supporting Actor,nominee,Tommy Lee Jones,66,55-69
Lincoln,2013,Best Supporting Actress,nominee,Sally Field,66,55-69
The Spiral Staircase,1947,Best Supporting Actress,nominee,Ethel Barrymore,67,55-69
Lilies of the Field,1964,Best Supporting Actress,nominee,Lilia Skala,67,55-69
The Best Man,1965,Best Supporting Actor,nominee,Lee Tracy,67,55-69
The Shop on Main Street,1967,Best Actress,nominee,Ida Kaminska,67,55-69
Tom & Viv,1995,Best Supporting Actress,nominee,Rosemary Harris,67,55-69
The Apostle,1998,Best Actor,nominee,Robert Duvall,67,55-69
The Cider House Rules,2000,Best Supporting Actor,winner,Michael Caine,67,55-69
Iris,2002,Best Actress,nominee,Judi Dench,67,55-69
Gosford Park,2002,Best Supporting Actress,nominee,Maggie Smith,67,55-69
Million Dollar Baby,2005,Best Supporting Actor,winner,Morgan Freeman,67,55-69
The Paradine Case,1948,Best Supporting Actress,nominee,Ethel Barrymore,68,55-69
The Bridge on the River Kwai,1958,Best Supporting Actor,nominee,Sessue Hayakawa,68,55-69
The Children's Hour,1962,Best Supporting Actress,nominee,Fay Bainter,68,55-69
Guess Who's Coming to Dinner,1968,Best Actor,nominee,Spencer Tracy,68,55-69
The Day of the Locust,1976,Best Supporting Actor,nominee,Burgess Meredith,68,55-69
Atlantic City,1982,Best Actor,nominee,Burt Lancaster,68,55-69
Moonstruck,1988,Best Supporting Actor,nominee,Vincent Gardenia,68,55-69
A Civil Action,1999,Best Supporting Actor,nominee,Robert Duvall,68,55-69
Requiem for a Dream,2001,Best Actress,nominee,Ellen Burstyn,68,55-69
Mrs. Miniver,1943,Best Supporting Actor,nominee,Henry Travers,69,55-69
The Green Years,1947,Best Supporting Actor,nominee,Charles Coburn,69,55-69
Inside Daisy Clover,1966,Best Supporting Actress,nominee,Ruth Gordon,69,55-69
Marathon Man,1977,Best Supporting Actor,nominee,Laurence Olivier,69,55-69
Rocky,1977,Best Supporting Actor,nominee,Burgess Meredith,69,55-69
Central Station,1999,Best Actress,nominee,Fernanda Montenegro,69,55-69
The Aviator,2005,Best Supporting Actor,nominee,Alan Alda,69,55-69
Silver Linings Playbook,2013,Best Supporting Actor,nominee,Robert De Niro,69,55-69
Miracle on 34th Street,1948,Best Supporting Actor,winner,Edmund Gwenn,70,70 <
Pinky,1950,Best Supporting Actress,nominee,Ethel Barrymore,70,70 <
I Never Sang for My Father,1971,Best Actor,nominee,Melvyn Douglas,70,70 <
Airport,1971,Best Supporting Actress,winner,Helen Hayes,70,70 <
Nobody's Fool,1995,Best Actor,nominee,Paul Newman,70,70 <
Affliction,1999,Best Supporting Actor,winner,James Coburn,70,70 <
The Quiet American,2003,Best Actor,nominee,Michael Caine,70,70 <
The V.I.P.s,1964,Best Supporting Actress,winner,Margaret Rutherford,71,70 <
Little Big Man,1971,Best Supporting Actor,nominee,Chief Dan George,71,70 <
The Paper Chase,1974,Best Supporting Actor,winner,John Houseman,71,70 <
The Boys From Brazil,1979,Best Actor,nominee,Laurence Olivier,71,70 <
Mrs. Henderson Presents,2006,Best Actress,nominee,Judi Dench,71,70 <
Frost/Nixon,2009,Best Actor,nominee,Frank Langella,71,70 <
Warrior,2012,Best Supporting Actor,nominee,Nick Nolte,71,70 <
Night Must Fall,1938,Best Supporting Actress,nominee,Dame May Whitty,72,70 <
Rosemary's Baby,1969,Best Supporting Actress,winner,Ruth Gordon,72,70 <
The Mirror Has Two Faces,1997,Best Supporting Actress,nominee,Lauren Bacall,72,70 <
Notes on a Scandal,2007,Best Actress,nominee,Judi Dench,72,70 <
Little Miss Sunshine,2007,Best Supporting Actor,winner,Alan Arkin,72,70 <
Invictus,2010,Best Actor,nominee,Morgan Freeman,72,70 <
Foreign Correspondent,1941,Best Supporting Actor,nominee,Albert Bassermann,73,70 <
Mister 880,1951,Best Supporting Actor,nominee,Edmund Gwenn,73,70 <
The Diary of Anne Frank,1960,Best Supporting Actor,nominee,Ed Wynn,73,70 <
The Godfather Part II,1975,Best Supporting Actor,nominee,Lee Strasberg,73,70 <
The Verdict,1983,Best Supporting Actor,nominee,James Mason,73,70 <
City Slickers,1992,Best Supporting Actor,winner,Jack Palance,73,70 <
Quiz Show,1995,Best Supporting Actor,nominee,Paul Scofield,73,70 <
My Fair Lady,1965,Best Supporting Actor,nominee,Stanley Holloway,74,70 <
The Sound of Music,1966,Best Supporting Actress,nominee,Peggy Wood,74,70 <
On Golden Pond,1982,Best Actress,winner,Katharine Hepburn,74,70 <
Million Dollar Baby,2005,Best Actor,nominee,Clint Eastwood,74,70 <
Venus,2007,Best Actor,nominee,Peter OToole,74,70 <
Lady for a Day,1934,Best Actress,nominee,May Robson,75,70 <
The Towering Inferno,1975,Best Supporting Actor,nominee,Fred Astaire,75,70 <
Little Dorrit,1989,Best Supporting Actor,nominee,Alec Guinness,75,70 <
Tom Jones,1964,Best Supporting Actress,nominee,Dame Edith Evans,76,70 <
My Fair Lady,1965,Best Supporting Actress,nominee,Gladys Cooper,76,70 <
On Golden Pond,1982,Best Actor,winner,Henry Fonda,76,70 <
Mrs. Miniver,1943,Best Supporting Actress,nominee,Dame May Whitty,77,70 <
The Chalk Garden,1965,Best Supporting Actress,nominee,Dame Edith Evans,77,70 <
Guess Who's Coming to Dinner,1968,Best Supporting Actor,nominee,Cecil Kellaway,77,70 <
A Passage to India,1985,Best Supporting Actress,winner,Peggy Ashcroft,77,70 <
Cocoon,1986,Best Supporting Actor,winner,Don Ameche,77,70 <
Nebraska,2014,Best Actor,nominee,Bruce Dern,77,70 <
Arthur,1982,Best Supporting Actor,winner,John Gielgud,78,70 <
Road to Perdition,2003,Best Supporting Actor,nominee,Paul Newman,78,70 <
Argo,2013,Best Supporting Actor,nominee,Alan Arkin,78,70 <
Being There,1980,Best Supporting Actor,winner,Melvyn Douglas,79,70 <
The Whales of August,1988,Best Supporting Actress,nominee,Ann Sothern,79,70 <
The Straight Story,2000,Best Actor,nominee,Richard Farnsworth,79,70 <
Philomena,2014,Best Actress,nominee,Judi Dench,79,70 <
The Whisperers,1968,Best Actress,nominee,Dame Edith Evans,80,70 <
The Sunshine Boys,1976,Best Supporting Actor,winner,George Burns,80,70 <
Driving Miss Daisy,1990,Best Actress,winner,Jessica Tandy,80,70 <
The Last Station,2010,Best Supporting Actor,nominee,Christopher Plummer,80,70 <
Resurrection,1981,Best Supporting Actress,nominee,Eva Le Gallienne,82,70 <
"Greystoke: The Legend of Tarzan, Lord of the Apes",1985,Best Supporting Actor,nominee,Ralph Richardson,82,70 <
Fried Green Tomatoes,1992,Best Supporting Actress,nominee,Jessica Tandy,82,70 <
Beginners,2012,Best Supporting Actor,winner,Christopher Plummer,82,70 <
Extremely Loud and Incredibly Close,2012,Best Supporting Actor,nominee,Max von Sydow,82,70 <
Into the Wild,2008,Best Supporting Actor,nominee,Hal Holbrook,83,70 <
Nebraska,2014,Best Supporting Actress,nominee,June Squibb,84,70 <
American Gangster,2008,Best Supporting Actress,nominee,Ruby Dee,85,70 <
Dances with Wolves,1991,Best Supporting Actor,nominee,Graham Greene,86,70 <
Amour,2013,Best Actress,nominee,Emmanuelle Riva,86,70 <
Titanic,1998,Best Supporting Actress,nominee,Gloria Stuart,87,70 <
